Date/Time,Lat,Lon,Base,locationID
2014-04-28 06:30:00,40.7393,-73.9974,B02598,
2014-04-08 15:20:00,40.7597,-73.9861,B02512,
2014-04-04 18:47:00,40.7326,-73.9935,B02682,
2014-04-16 13:17:00,40.7761,-73.9442,B02682,
2014-04-11 12:34:00,40.7513,-74.0067,B02682,
2014-04-05 22:01:00,40.7805,-73.952,B02598,
2014-04-01 21:02:00,40.7626,-73.9716,B02682,
2014-04-23 14:57:00,40.6822,-73.9892,B02598,
2014-04-09 19:29:00,40.772,-73.8859,B02682,
2014-04-11 15:20:00,40.7732,-73.8859,B02617,
2014-04-01 21:53:00,40.7272,-73.99,B02598,
2014-04-11 07:25:00,40.7733,-73.9591,B02682,
2014-04-25 19:36:00,40.7143,-73.9972,B02598,
2014-04-15 17:27:00,40.7534,-73.9809,B02682,
2014-04-12 21:31:00,40.6448,-73.7824,B02598,
2014-04-25 07:47:00,40.7594,-73.9955,B02682,
2014-04-25 16:35:00,40.7587,-73.9758,B02598,
2014-04-30 10:59:00,40.7623,-73.9959,B02598,
2014-04-18 15:59:00,40.7339,-73.9908,B02682,
2014-04-06 15:46:00,40.7403,-73.996,B02512,
2014-04-01 13:52:00,40.7311,-74.0083,B02682,
2014-04-18 16:27:00,40.7612,-73.9752,B02682,
2014-04-28 15:10:00,40.7565,-73.9781,B02682,
2014-04-15 20:45:00,40.7405,-73.9891,B02598,
2014-04-17 06:43:00,40.7555,-73.9929,B02598,
2014-04-10 19:21:00,40.7497,-73.9753,B02682,
2014-04-25 09:39:00,40.7965,-73.9722,B02682,
2014-04-11 22:43:00,40.7274,-74.0006,B02682,
2014-04-23 08:29:00,40.7125,-73.956,B02617,
2014-04-29 12:11:00,40.7306,-73.9826,B02682,
2014-04-03 13:26:00,40.7399,-73.9968,B02682,
2014-04-22 18:18:00,40.7188,-73.9896,B02617,
2014-04-11 16:54:00,40.756,-73.9703,B02682,
2014-04-19 16:05:00,40.7122,-74.0101,B02512,
2014-04-16 16:06:00,40.8716,-74.0621,B02682,
2014-04-08 09:01:00,40.7302,-73.9936,B02617,
2014-04-29 08:48:00,40.646,-73.7768,B02682,
2014-04-01 11:11:00,40.7553,-73.9745,B02617,
2014-04-20 12:35:00,40.7427,-73.9806,B02598,
2014-04-29 17:03:00,40.7126,-73.9351,B02598,
2014-04-04 22:36:00,40.722,-73.8723,B02617,
2014-04-07 22:53:00,40.7304,-74.0014,B02598,
2014-04-05 19:21:00,40.7591,-73.9815,B02682,
2014-04-14 07:03:00,40.7451,-73.9888,B02682,
2014-04-05 16:34:00,40.7587,-73.9895,B02682,
2014-04-09 18:20:00,40.7671,-73.9609,B02682,
2014-04-07 20:22:00,40.7525,-73.9733,B02682,
